City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,saipan,15.1355,145.701,300.54,89,100,2.57,MP,1729391476
84,orenburg,51.7727,55.0988,282.16,62,100,4.95,RU,1729391478
85,badger,64.8,-147.5333,264.29,83,100,2.06,US,1729391479
86,tobruk,32.0836,23.9764,293.63,72,91,4.75,LY,1729391480
87,rancho palos verdes,33.7445,-118.387,294.0,41,0,2.06,US,1729391481
88,porkhov,57.765,29.5561,276.3,89,15,2.11,RU,1729391482
89,inari,68.906,27.0288,280.79,98,100,2.8,FI,1729391316
90,fale old settlement,-9.3852,-171.2468,301.68,70,78,5.55,TK,1729391485
91,tazacorte,28.629,-17.9293,294.69,86,100,6.26,ES,1729391486
92,nampula,-15.1165,39.2666,294.12,94,20,3.09,MZ,1729391487
93,punta arenas,-53.15,-70.9167,280.21,70,75,5.14,CL,1729391489
94,kodiak,57.79,-152.4072,279.88,49,0,5.66,US,1729391491
95,aljezur,37.3191,-8.8033,288.76,83,74,2.38,PT,1729391492
96,aasiaat,68.7098,-52.8699,262.46,76,100,5.41,GL,1729391493
97,charters towers,-20.1,146.2667,309.04,19,0,2.08,AU,1729391497
98,rio preto da eva,-2.6994,-59.6997,303.12,49,100,0.93,BR,1729391498
99,ust-nera,64.5667,143.2,262.55,86,100,1.98,RU,1729391500
100,yellowknife,62.456,-114.3525,269.49,91,75,3.6,CA,1729391217
101,hadibu,12.65,54.0333,299.38,81,95,0.81,YE,1729391503
102,yamada,39.4667,141.95,285.36,40,7,3.83,JP,1729391505
103,montepuez,-13.1256,38.9997,294.98,79,97,2.35,MZ,1729391506
104,indian harbour beach,28.1489,-80.5884,298.7,70,20,7.2,US,1729391507
105,enewetak,11.3474,162.3373,301.91,77,100,7.98,MH,1729391509
106,nuku'alofa,-21.1333,-175.2,301.34,78,40,9.77,TO,1729391510
107,buka,40.8108,69.1986,288.43,35,14,0.52,UZ,1729391511
108,kedougou,12.5579,-12.1743,297.48,87,100,1.45,SN,1729391512
109,akureyri,65.6835,-18.0878,279.11,65,20,2.57,IS,1729391513
110,edinburgh of the seven seas,-37.0676,-12.3116,287.21,91,100,15.08,SH,1729391514
111,serowe,-22.3833,26.7167,297.18,30,94,3.69,BW,1729391516
112,lijiang,26.8688,100.2207,290.76,55,25,1.82,CN,1729391517
113,lompoc,34.6391,-120.4579,291.87,31,0,1.54,US,1729391518
114,plymouth,41.8334,-70.8328,284.16,87,0,0.0,US,1729391519
115,baykal'sk,51.5058,104.1469,273.52,95,100,3.83,RU,1729391520
116,lihue,21.9789,-159.3672,300.92,76,0,7.2,US,1729391521
117,barah,13.7,30.3667,299.79,26,81,1.96,SD,1729391522
118,kavaratti,10.5669,72.642,300.7,77,24,1.66,IN,1729391524
119,banda aceh,5.5577,95.3222,302.35,63,91,6.86,ID,1729391525
120,new norfolk,-42.7826,147.0587,294.79,42,57,1.46,AU,1729391526
121,leo,11.1,-2.1,297.84,76,100,1.79,BF,1729391527
122,maqat,47.65,53.3167,281.15,84,100,5.43,KZ,1729391528
123,rimouski,48.4488,-68.524,286.25,66,56,5.97,CA,1729391531
124,novyy urengoy,66.0833,76.6333,273.72,99,100,3.14,RU,1729391532
125,aitape,-3.1374,142.3475,302.95,72,99,3.05,PG,1729391533
126,constantia,44.1833,28.65,276.53,70,16,5.1,RO,1729391535
127,alice springs,-23.7,133.8833,304.9,19,0,5.14,AU,1729391536
128,astrakhan,46.3497,48.0408,279.08,93,0,3.0,RU,1729391538
129,gaiman,-43.2897,-65.4929,285.26,72,100,4.61,AR,1729391539
130,toliara,-23.35,43.6667,294.83,81,0,2.84,MG,1729391540
131,ondjiva,-17.0667,15.7333,294.17,28,4,1.54,AO,1729391541
132,antsiranana,-12.2787,49.2917,296.74,79,9,5.22,MG,1729391542
133,codrington,-38.2667,141.9667,290.07,64,81,5.09,AU,1729391543
134,chardara,41.2547,67.9692,289.67,31,8,1.8,KZ,1729391544
135,udachny,66.4167,112.4,260.42,92,98,2.89,RU,1729391546
136,port elizabeth,-33.918,25.5701,287.77,87,0,3.09,ZA,1729391547
137,shakawe,-18.3667,21.85,300.04,28,98,1.33,BW,1729391548
138,haiku-pauwela,20.9219,-156.3051,301.02,66,20,13.41,US,1729391549
